respondent_number,region,district,urbrur,latitude,longitude,dateintr,age,electricity_grid_in_the_psu_ea,road_surface_last_5_km,road_condition_last_5_km,overall_direction_of_the_country,country_s_present_economic_condition,country_s_economic_condition_compared_to_12_months_ago,country_s_economic_condition_in_12_months_time,how_often_gone_without_food,how_often_gone_without_water,support_for_democracy,satisfaction_with_democracy,level_of_corruption,handling_managing_the_economy,climate_change_affecting_country,gender_of_respondent,lived_poverty_index_average_index_of_5_poverty_items,country,round,rectangle_coordinates,geometry,buildings_num
MLW0001,462,Zomba,2,-15.4808766666667,35.4908816666667,2016-12-26,33,0,5,2,1,1,2,2,1,0,3,2,1,2,7,2,1.4,MLW,7,"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]","POLYGON ((35.486215778315156 -15.476380058637107, 35.49554755501825 -15.476380058637107, 35.49554755501825 -15.485373274696295, 35.486215778315156 -15.485373274696295, 35.486215778315156 -15.476380058637107))",151
MLW0002,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-26,32,1,5,6,1,1,2,1,1,1,3,1,1,1,7,1,1.0,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
MLW0003,462,Zomba,2,-15.4808766666667,35.4908816666667,2016-12-26,18,0,5,2,1,2,3,2,2,0,3,3,1,2,4,1,1.6,MLW,7,"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]","POLYGON ((35.486215778315156 -15.476380058637107, 35.49554755501825 -15.476380058637107, 35.49554755501825 -15.485373274696295, 35.486215778315156 -15.485373274696295, 35.486215778315156 -15.476380058637107))",151
MLW0004,462,Zomba,2,-15.4808766666667,35.4908816666667,2016-12-26,28,0,5,2,1,1,2,3,3,1,3,1,1,2,5,2,2.4,MLW,7,"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]","POLYGON ((35.486215778315156 -15.476380058637107, 35.49554755501825 -15.476380058637107, 35.49554755501825 -15.485373274696295, 35.486215778315156 -15.485373274696295, 35.486215778315156 -15.476380058637107))",151
MLW0005,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-26,36,1,5,6,2,2,5,5,0,0,3,4,9,2,5,2,0.4,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
MLW0006,462,Zomba,2,-15.4808766666667,35.4908816666667,2016-12-26,25,0,5,2,1,3,1,1,3,0,3,4,1,1,5,2,1.8,MLW,7,"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]","POLYGON ((35.486215778315156 -15.476380058637107, 35.49554755501825 -15.476380058637107, 35.49554755501825 -15.485373274696295, 35.486215778315156 -15.485373274696295, 35.486215778315156 -15.476380058637107))",151
MLW0007,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-26,42,1,5,6,1,1,2,2,1,0,2,1,1,1,5,2,0.8,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
MLW0008,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-26,21,1,5,6,1,2,2,1,1,1,3,2,2,2,5,1,1.0,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
MLW0009,462,Zomba,2,-15.4808766666667,35.4908816666667,2016-12-26,36,0,5,2,1,1,2,3,1,0,3,3,4,2,5,2,0.6,MLW,7,"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]","POLYGON ((35.486215778315156 -15.476380058637107, 35.49554755501825 -15.476380058637107, 35.49554755501825 -15.485373274696295, 35.486215778315156 -15.485373274696295, 35.486215778315156 -15.476380058637107))",151
MLW0010,462,Zomba,2,-15.4808766666667,35.4908816666667,2016-12-26,19,0,5,2,1,4,4,4,0,2,3,3,4,3,4,1,1.6,MLW,7,"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]","POLYGON ((35.486215778315156 -15.476380058637107, 35.49554755501825 -15.476380058637107, 35.49554755501825 -15.485373274696295, 35.486215778315156 -15.485373274696295, 35.486215778315156 -15.476380058637107))",151
