rectangle_coordinates,buildings_num,district_num
"[[34.9565810583157, -15.012816725303706], [34.9658922750177, -15.012816725303706], [34.9658922750177, -15.021809941362894], [34.9565810583157, -15.021809941362894]]",425,balaka_1
"[[35.20646144203755, -14.841205058637106], [35.21576522462905, -14.841205058637106], [35.21576522462905, -14.850198274696295], [35.20646144203755, -14.850198274696295]]",200,balaka_2
"[[35.10757799530287, -14.846473391970406], [35.116882004697125, -14.846473391970406], [35.116882004697125, -14.855466608029595], [35.10757799530287, -14.855466608029595]]",193,balaka_3
"[[35.19599983020106, -14.992683391970406], [35.205310169798935, -14.992683391970406], [35.205310169798935, -15.001676608029594], [35.19599983020106, -15.001676608029594]]",391,balaka_4
"[[34.931445723786844, -15.104308391970406], [34.940760942879756, -15.104308391970406], [34.940760942879756, -15.113301608029595], [34.931445723786844, -15.113301608029595]]",357,balaka_5
"[[35.113543907383566, -14.958465058637106], [35.12285275928303, -14.958465058637106], [35.12285275928303, -14.967458274696295], [35.113543907383566, -14.967458274696295]]",126,balaka_6
"[[34.954403084504634, -15.521845058637105], [34.96373691549536, -15.521845058637105], [34.96373691549536, -15.530838274696293], [34.954403084504634, -15.530838274696293]]",191,blantyre_1
"[[35.00425437750339, -15.684696725303706], [35.0135956224966, -15.684696725303706], [35.0135956224966, -15.693689941362894], [35.00425437750339, -15.693689941362894]]",1205,blantyre_2
"[[34.883601461965085, -15.883396725303706], [34.89295187136831, -15.883396725303706], [34.89295187136831, -15.892389941362895], [34.883601461965085, -15.892389941362895]]",221,blantyre_3
"[[34.92864721674254, -15.922605058637105], [34.93799944992406, -15.922605058637105], [34.93799944992406, -15.931598274696293], [34.92864721674254, -15.931598274696293]]",315,blantyre_4
"[[34.85063268774804, -15.685705058637106], [34.85997397891857, -15.685705058637106], [34.85997397891857, -15.694698274696295], [34.85063268774804, -15.694698274696295]]",356,blantyre_5
"[[34.875650578315906, -15.632153391970405], [34.88498942168409, -15.632153391970405], [34.88498942168409, -15.641146608029594], [34.875650578315906, -15.641146608029594]]",126,blantyre_6
"[[35.042453469834086, -15.724281725303706], [35.051796530165916, -15.724281725303706], [35.051796530165916, -15.733274941362895], [35.042453469834086, -15.733274941362895]]",1735,blantyre_city_1
"[[35.0061113990145, -15.814175058637106], [35.0154586009855, -15.814175058637106], [35.0154586009855, -15.823168274696295], [35.0061113990145, -15.823168274696295]]",3030,blantyre_city_2
"[[35.07216087251164, -15.836938391970406], [35.08150912748837, -15.836938391970406], [35.08150912748837, -15.845931608029595], [35.07216087251164, -15.845931608029595]]",3977,blantyre_city_3
"[[35.06605797538311, -15.818081725303706], [35.075405357950295, -15.818081725303706], [35.075405357950295, -15.827074941362895], [35.06605797538311, -15.827074941362895]]",1797,blantyre_city_4
"[[34.99710592000063, -15.834886725303706], [35.006454079999365, -15.834886725303706], [35.006454079999365, -15.843879941362895], [34.99710592000063, -15.843879941362895]]",2792,blantyre_city_5
"[[35.03961766050277, -15.759483391970406], [35.04896233949722, -15.759483391970406], [35.04896233949722, -15.768476608029594], [35.03961766050277, -15.768476608029594]]",1016,blantyre_city_6
"[[35.06995427441026, -15.761775058637106], [35.07929905892315, -15.761775058637106], [35.07929905892315, -15.770768274696294], [35.06995427441026, -15.770768274696294]]",3619,blantyre_city_7
"[[35.06040806118967, -15.742066725303706], [35.069751938810334, -15.742066725303706], [35.069751938810334, -15.751059941362895], [35.06040806118967, -15.751059941362895]]",678,blantyre_city_8
"[[35.06769063666108, -15.847123391970406], [35.07703936333892, -15.847123391970406], [35.07703936333892, -15.856116608029595], [35.06769063666108, -15.856116608029595]]",1999,blantyre_city_9
"[[35.044395765162996, -15.769413391970406], [35.05374090150361, -15.769413391970406], [35.05374090150361, -15.778406608029595], [35.044395765162996, -15.778406608029595]]",5298,blantyre_city_10
"[[35.044455991317484, -15.831805058637105], [35.05380400868251, -15.831805058637105], [35.05380400868251, -15.840798274696294], [35.044455991317484, -15.840798274696294]]",3774,blantyre_city_11
"[[35.008304226171155, -15.763870058637107], [35.01764910716225, -15.763870058637107], [35.01764910716225, -15.772863274696295], [35.008304226171155, -15.772863274696295]]",3023,blantyre_city_12
"[[35.073179688615, -15.743773391970405], [35.08252364471841, -15.743773391970405], [35.08252364471841, -15.752766608029594], [35.073179688615, -15.752766608029594]]",2121,blantyre_city_13
"[[35.0081776234763, -15.761091725303706], [35.0175223765237, -15.761091725303706], [35.0175223765237, -15.770084941362894], [35.0081776234763, -15.770084941362894]]",3822,blantyre_city_14
